5/29/2000,In America; Double-Deckers' Dark Side,"Bob Herbert Op-Ed column on fatal accident involving New York Apple Tours double-decker bus and company's myriad violations of safety and pollution laws; asks what happened to Mayor Rudolph Giuliani's zero-tolerance policies, and demands operations be closed down (M)"
5/28/2000,"Behind Success Of Tour Buses, Troubled Trail",Profile of embattled New YoÄ
5/29/2000,Searching For Emotion Dormant Under Layers,Ben Ratliff reviews concert by pop singer Fiona Apple at Beacon Theater; photo (M)0
5/27/2000,Double-Decker Menace,"Editorial calls for suspension of New York Apple Tours' license to operate big double-decker tour buses on NYC streets, contending they are menace to pedestrians; cites tour company's 'appalling record,' which now includes death of pedestrian Randolph Walker"
5/24/2000,City to Ask Immediate Suspension of Bus Line After Fatality,"New York City officials say that they will ask Administrative Law Judge Judith Gould to suspend license of New York Apple Tours immediately, day after one of its double-decker tour buses fatally struck 71-year-old pedestrian Randolph Walker in Midtown Manhattan, accident that once again set off concerns about New York Apple Tours and its long record of environmental, safety and traffic violations; photo (M)"
5/23/2000,Tour Bus Kills Actor As He Walks On 45th St.,"Randolph Walker, 71-year-old actor known for dozens of Off Broadway roles, is struck and killed by double-decker bus operated by New York Apple Tours, which for years has been criticized for flouting regulations and disrupting residential neigborhoods; driver, Howard Scott, who is not licensed to operate bus, struck Walker while turning from Ninth Avenue onto 45th Street, residential street where bus is not allowed; photo; accidents sets off new outcry from residents of area, where four pedestrians have been injured by Apple Tours buses in last four years; Consumer Affairs Department issues strong statement on its efforts to revoke company's license; cites falsification of pollution records and 1,400 summons for traffic violations, many for reckless driving (M)"
5/24/2000,"Hecklers, and Guides Too, Confuse Tour Bus Riders",Article describes scene on distinctive red double-decker bus from New York Apple Tours day after bus fatally struck pedestrian; photo (M)
6/28/2000,Bid to Keep Apple Tours Closed Is Rejected,"New York Apple Tours' red double-decker buses, which have been banished from New York City's streets for nearly a month, may be rolling again as early as this weekend after panel of state appellate judges rejects attempt by city and state to sideline buses while they attempt to shut company down permantly (M)"
6/8/2000,Top Effie Award Goes to Apple,Apple Computer and agency TBWA/Chiat/Day win top prize at New York chapter of American Marketing Association's 32nd annual Effie Awards presentation for effectiveness in advertising (Advertising column) (S)
6/15/2000,Judge Reverses Shutdown of Tour Bus,"New York State Supreme Court Judge Phyllis Gangel-Jacob reverses Gov George E Pataki's two-week-old order that shut down New York Apple Tours, whose double-decker buses have come under fierce criticism since one killed pedestrian in Midtown Manhattan last month; photo (M)"
6/1/2000,Workers Shocked at Sudden Job Loss,Employees of New York Apple Tours react in disbelief after hearing that New York State has ordered operator's double-decker buses off streets following investigation of company's environmental and safety record (M)
6/1/2000,Pataki Orders Tour Bus Line Off the Streets,"Gov George E Pataki orders Motor Vehicles Department to suspend registrations for all 63 tour buses run by New York Apple Tours after probe spurred by death of Randolph Walker, pedestrian struck by bus in New York City, finds hundreds of law violations; vows to put company out of business; violations could result in heavy fines and possible jail time for some company employees; administrative law judge temporarily suspends company's operating license; Mayor Rudolph W Giuliani hails Pataki's move; photo (M)"
6/1/2000,"Behind a Death on the Street, a Life on the Stage","Randolph Walker, who was killed by a New York Apple Tours bus on May 22, is remembered as a devoted actor who embodied the struggle of performers scraping out a living on the lower rungs of the profession; photo (M)"
6/21/2000,What a Good Sole,Maria Cerra Tishman letter on R W Apple Jr's June 14 article recalls sampling Dover sole
6/21/2000,In Praise of a Great Good Place,Jat Hewitt letter on R W Apple Jr's June 7 article on England's gastro pubs fears threat to pub as place where men of different classes can drink and socialize together
6/7/2000,Corrections,"Correction of May 31 article on Fat Duck restaurant in Bray, England, which should have noted that cooking temperatures mentioned were in Celsius scale"
6/11/2000,Not Your Toddler's Apple Cider,"Profile of Laird family of Scobeyville, NJ, America's oldest family of distillers, whose signature product is applejack, 80-proof blend of apple brandy and other neutral spirits; Lisa Laird Dunn and cousin John E Laird 3d represent ninth geneation of Lairds to produce apple-based spirits; photos; recipes (M)"
7/20/2000,Apple Redesigns Computers In Effort to Increase Sales,"Apple Computer introduces new products from restyled mouse to overhaul of its popular iMac desktop computers, whose sales of stagnated in recent months, Macworld exhibition, New York City; chief executive Steven P Jobs comments; photo (M)"
7/19/2000,Apple Reports Earnings Gain but Disappointing Sales,"Apple Computer reports mixed results for its third quarter ended July 1, with earnings exceeding analyst expectations but sales falling short of projections in light of disappointing sales of iMac, company's staple personal computer; reports earnings of $163 million compared with $114 million in same quarter a year ago; says sales were $1.83 billion, 17 percent higher than $1.56 billion a year ago, but lower than $1.9 billion many analysts expected (M)"
7/29/2000,Apple Tours Fined for Bid to Evade U.S. Emission Rule,"Federal court sentences New York Apple Tours to maximum penalty of five years probation and $800,000 fine for lying on import documents to evade federal emissions standards for double-decker buses from Britain; photo; city and state actions pending against company reviewed (S)"
7/18/2000,"APPLE SLIPS, GATEWAY AND COMPAQ GAIN","Media Metrix survey shows Apple's Macintosh computers lost ground in American households last year; says 3.8 million households owned Macs in January, compared with 4.1 million a year earlier; finds that for first time, Gateway and Compaq Computer are leading brands of Windows PC's in American homes, each in about 5.4 million homes, followed by previous leader, Packard-Bell, with 5.2 million; graph (S)"
7/20/2000,Apple's New Computer Goes Back to Square One,"Steve Jobs officially unveils new PowerMac G4 Cube at Mac World Expo; new model is encased in 8-inch clear plastic cube, about quarter the size of G4 computer currently on market; 450-megahertz and 500-megahertz Cubes will go on sale in August; photo (S)"
7/18/2000,"With New York's Apples in Ruin, Growers Fear for a Way of Life","Apple Growers in New York's Hudson Valley are abandoning some orchards entirely this season because of damage to crops from two springtime hail storms; approximately 2.09 million bushels, or about a third of crop grown on 7,000 acres, are expected to be lost in probably worst crop damage in memory; loss comes as number of economic forces have pushed many growers to brink; many fear for way of life and evoke potential consequence of their financial crisis in region where wave of development has cut into apple growing in last decade; seek emergency infusion of cash from federal government; photos (M)"
7/2/2000,Apple Tours' Buses Return to the Streets,Nearly 60 New York Apple Tours buses return to Manhattan's streets after panel of state appellate judges rebuffs city and state efforts to sideline buses while regulators try to shut down the company; photo (M)
7/24/2000,"Warming Things Up, At Least Temporarily",Microsoft plans new software for Apple Computer's Macintosh computers; photo (M)
7/17/2000,Sorenstam Has the Right Touch When It Counts,Annika Sorenstam wins Japan Airlines Big Apple Classic golf tournament; photo (M)
7/16/2000,Rain Does Not Ruin Day For the Inkster Family,"Third round of Big Apple Classic golf tournament is postponed by rain, allowing Juli Inkster to spend day with her children; Inkster trails second-round leader Allison Finney by 10 strokes; photo (M)"
8/30/2000,The Good Apple,"Marian Burros's Eating Well column on using apples to cut the amount of butter, cream and othee fats in a recipe; photo (M)"
8/24/2000,APPLE TRADE-IN,"Owners of Apple PowerBook 5300 and 190 models can trade in their old computers for $700 discount on one of company's 400-megahertz G3 laptops, which sell for $2,499; offer is good until Aug 31 (S)"
8/18/2000,The Big City; The Apple And the Sins Of Journalists,"John Tierney The Big City column on inaccuratge, misleading and sometimes sensational reporting about supposed dangers of pesticides in produce consumed by Americans; notes that John Stossell has apologized for erroneous report on ABC, and contrasts refusal of CBS and Ed Bradley to correct erroneous 1989 report on Alar-treated apples, which cost apple growers more than $100 million(M)"
8/16/2000,APPLE NAMES A BOARD MEMBER,"Apple Computer Co names Arthur D Levinson, chairman of Genentech, to its board (S)"
8/17/2000,"AT HOME WITH/Apple Parish Bartlett; Behind the Chintz Curtain, the Legacy","At Home With column on Apple Parish Bartlett, painter and dealer in decorative home furnishings in Dark Harbor, Me, who with daughter Susan Bartlett Crater has written book about her mother Sister Parish, who was legendary interior decorator who shaped domestic esthetic of many of rich and famous; photos (M)"
8/8/2000,Big Apple Circus Cries Foul at Ringling's New Holiday Show,"New York City will let Ringling Brothers and Barnum & Bailey circus present high-end, one-ring, family-oriented circus in tent in Bryant Park during Thanksgiving and Christmas holidays for first time; show will compete with Big Apple Circus, holiday entertainment tradition in Damrosch Park; Ringling hopes to turn profit; Big Apple, nonprofit group, sees threat to its future and urges city to reconsider; Public Advocate Mark Green says he urged city to reschedule Ringling show because conflict risks diminishing both events, interview; photos (M)"
8/31/2000,"Classic Beauty, Cubed",State of the Art column appraises Apple Computer Inc's new Power Mac G4 Cube computer; drawing (M)
8/24/2000,A Long-Discontinued Macintosh Still Thrills Collectors to the Core,"Japan's die-hard Mac traditionalists are keeping Apple Computer's Color Classic alive, even though model was discontinued in 1995; they have formed club to act as clearinghouse for information on how to upgrade Color Classic using spare parts taken from later machines; photos (M)"
8/20/2000,Interiors,William Norwich reviews book Sister: The Life of the Legendary American Interior Decorator Mrs Henry Parish II by Apple Parish Bartlett and Susan Bartlett Crater; photos (M)
8/14/2000,Steven Jobs Finds Fault With Portrayal in Book,"Steven P Jobs, co-founder and chief executive of Apple Computer, complains to Random House chief executive Peter Olson about negative portrayal in Alan Deutschman book The Second Coming of Steve Jobs; photo (S)"
9/29/2000,Apple Says Quarterly Profit Won't Meet Expectations,"Apple Computer says its fourth-quarter earnings will fall far below analysts' estimates because of weak September sales; Apple shares, which closed at $53.50, up $4.56 on Nasdaq trading, drop as low as $28.25 in after-hours trading (M)"
9/14/2000,Apple Breaks The Mold,"Apple Computer introduces beta version of its new Mac OS X (10) operating system software, which is based on Unix operating system and has a new interface, called Aqua; people who pay $29.95 for chance to find bugs and glitches in this test version will be surveyed by company for comment; photo (M)"
9/21/2000,Sit! Stay! Bark! Cut!,"Computer makers, including Apple, Sony and Dell, are trying to spice up the market by providing digital video editing capabilities that can turn a passive computer user into a movie director; in addition, there is the new Lego Studios Steven Spielberg MovieMaker Set; lure of being able to tell personal stories by just cutting and pasting on a computer proves irresistible for some cosumers, but industry experts wonder how many people will actually make movies; photos (M)"
9/21/2000,From Theory to Practice; Capturing Every Moment of That Saturday Soccer Match,"Henry Fountain article on spending a weekend making a short video of a youth soccer match, using Apple iMac DV video editing software; says making a movie is a fine idea in theory, but one that would take time from things he would rather do; photo (M)"
9/14/2000,Adventures in Beta Land; Aqua Everywhere: An Early Look at OS X,J D Biersdorfer and Don Donofrio article of their test of beta version of Mac OS X software (M)
9/21/2000,Mixing OS X and Microsoft,Robert Nielsen letter comments on Sept 14 article on new Apple operating system
9/24/2000,Apple-Plum Crisp,
9/28/2000,Apple Issues Earnings Warning,"SAN FRANCISCO, Sept. 28 -- Apple Computer Inc. said today that its fourth quarter earnings will fall far below analysts' estimates because of weak September sales, an announcement that sent the company's shares plunging in after-hours trading."
9/14/2000,Apple Is Introducing 'Future of Macintosh',"Steve Jobs, Apple Computer Inc.'s chief executive, unveiled a major upgrade of the company's operating-system software here Wednesday that he hailed as ""the future of the Macintosh."".The system, called the Mac OS X, features a new look, simpl"
9/28/2000,Apple Plunges After Earnings Shortfall,Updated from 5:22 p.m. EDT
10/18/2000,It's a Very Lucky Worm That Finds These Apples,Christopher Norman Chocolates makes special apple-shaped truffles on a stick; photo (S)
10/19/2000,Apple Posts Results That Narrowly Miss Analysts' Estimates,"Apple Computer announces earnings in fiscal fourth quarter ended Sept 30 that narrowly miss Wall Street's lowered estimates; reports net profit of $108 million compared with $90 million in year-earlier quarter; revenue were $1.87 billion, up 40 percent from a year ago; lowers its projection of sales for current quarter, first of fiscal 2001, to about $1.6 billion, which is expected to drag down results for full year; says it expects revenue for 2001 of $7.5 billion to $8"
10/30/2000,"New Economy; Airborne and grass roots. By popular acclaim, a wireless format with a name only a geek could love is taking hold.","Wireless Ethernet technical standard for linking computers to Internet is catching on so quickly that it is displacing alternative wireless competitors; cost of technology continues to plummet; standard, available for many companies to adopt and improve, was first popularized by Apple Computer and is attracting rush of start-up companies and telecommunications vendors vying to lock up valuable sites at airports, hotels, other hot spots; such companies operate Internet server computers by which wireless users actually connect to Web; drawing (M)"
10/19/2000,Office Renovated For Mac,"Microsoft releases Word 2001, word processing software program for Macintosh operating systems; article evaluates new program, finds it impressive and innovative; drawing (M)"
10/12/2000,With New Office Suite for the Mac Microsoft Does More Than Windows,"Microsoft Corp releases new version of Office software, Office 2001 for Mac; Apple's Macintosh computer demands changes from Microsoft's products for PC-based systems; after rapprochement with Apple, Microsoft is largest developer of software for the Mac line (M)"
10/9/2000,Signs of Market Saturation in PC World,"Some analysts see signs that computer market is becoming saturated, turning into a 'replacement' market; some say computer market might begin taking on the cyclical and seasonal traits typical of other industries; other analysts say it is simply too soon to read anything into warnings about lighter than expected demand issued by Intel, Apple and Dell; graph (M)"
10/4/2000,The Greening Of the Martini,Rick Marin comments on crisp new cocktail known as the apple martini; recipes; photos (L)
10/8/2000,Unfair Play,"Skidmore College Prof Ronald P Seyb letter holds R W Apple Jr does disservice to fighters, in September 24 article, by referring to political debates as 'bouts' (S)"
10/8/2000,Carter's Papers,Andy Buck letter on R W Apple Jr article on PBS special Debating Our Destiny holds no credible documentary about presidential debates can omit mention of briefing papers stolen from Jimmy Carter's 1980 campaign that later turned up in Ronald Reagan's files (S)
10/8/2000,Samyn Wins Kelso on Forbidden Apple,"On the day after he won both Breeders' Cup prep races on the grass at Belmont Park, the jockey Jean-Luc Samyn stayed red hot yesterday as he nudged Forbidden Apple home first by a neck over Affirmed Success in the $250,000 Kelso Handicap."
11/4/2000,'Perfect' Apple Pushed Growers Into Debt,"Many apple farmers acknowledge their own role in collapse of one of last sectors of American agriculture still dominated by family farms; say that in trying to create perfect Red Delicious apple for major supermarket chains, they may have sacrificed taste to cosmetics; Pres Clinton recently signed biggest bailout in history of apple industry, after government reported that apple growers lost $760 million in last three years; growers say they established color, size and firmmess standards in response to major supermarket chains, who want consistent product that catches eye of harried shopper; say result is rosy red apple that lacks taste of old Red Delicious; most orchards continue to produce these perfect apples, at huge losses; other apple farmers have started growing new varieties like Fujis, Galas and Granny Smiths; farmers and apple trade associations say government bailout will not solve underlying problems of industry; three biggest apple-producing states are Washington, Michigan and New York; photos (L)"
11/19/2000,IN BRIEF,"Dominic Chang and Krishnan Thampi resign as executives of Family Golf Centers, which filed for bankruptcy in May...Red Apple Group offers to buy Getty Petroleum Marketing...Atec Group reports decline of revenues and gross profits in first quarter (M)"
11/21/2000,"Average Family Just Getting By, No Safety Net; They Fly Through the Air, Usually With Greatest of Ease","Profile of Pages family of trapeze artists, mother, father and two children who perform with Big Apple Circus, which is performing in New York City through January; photos (L)"
11/3/2000,A City of Clowns? What Else Is New?,Lawrence Van Gelder reviews Big Apple Circus production Clown Around Town in Damrosch Park; photo (S)
11/7/2000,To Taste an Apple: That Was Paradise!,Tevis M Goldhat letter laments decline of apple industry (Nov 4 article)
11/22/2000,Corrections,"Correction of Nov 21 picture caption, which misstated New York City site where Big Apple Circus performs"
11/15/2000,Apple Compote,"Golden Delicious apples were chosen for the tart because they are high in pectin, which gives them more body. This makes a thick compote -- a chunky, apple-sauce filling."
11/22/2000,French Toast With Apples,Adapted from Nougatine
11/12/2000,When the Apple Was a Pip,"NEW York: A City Is Born, 1609-1825'' is a documentary on New York history, beginning with Henry Hudson's exploration of the river that bears his name. Historians and writers like E. L. Doctorow and Mike Wallace are on the video, a 45-minute adaptation of ''New York: A Documentary Film,'' the PBS series.     The film is being shown to commemorate the opening of the Henry Luce III Center for the Study of American Culture at the New-York Historical Society. The center displays more than 40,000 pieces from the museum collection, like the busts and death masks shown at left.  "
11/15/2000,Print the Recipes,The Dough
12/15/2000,"Apple Buses Ordered Off Streets, Again","Appellate Division of State Supreme Court rules that an embattled New York Apple Tour's buses should be temporarily banned from city streets; ban will last until judge decides whether to permanently revoke company's license; Apple Tours plans to appeal, but for now its red double-decker buses will be pulled from street; Apple Tours, in its nine years of operation, has had hundreds of regulatory and safety violations; in May, an Apple driver without bus operator's license struck and killed 71-year-old pedestrian, Randolph Walker, in midtown (M)"
12/6/2000,Apple Warns It Will Record Quarterly Loss,"Apple Computer expects to report loss for first fiscal quarter of $225 million to $250 million, for which it blames external economic factors and its own business miscalculations; projects revenue of around $1 billion, down from $1.6 billion that it projected in October; two other technology compaies, Xilinx Inc and LSI Corp, also say earnings will not meet earlier projections (M)"
12/26/2000,"Three Circuses, a Ring at a Time; New Yorkers Flock to the Competing Little Big Tops","New Yorkers flock to see three major one-ring circuses that have won critical raves this holiday season; vying for attention are home-grown Big Apple Circus at Lincoln Center, Barnum's Kaleidoscape in Bryant Park and Circus Oz, spiky show from Australia at New Victory Theater; photos; Kenneth Feld of Ringling Brothers, which created Kaleidoscape 14 months ago, notes different styles of three productions; New York still has some way to go before matching long tradition in Paris, where 14 circuses are playing (M)"
12/24/2000,Opening the Big Top To Special Children,Big Apple Circus puts on special show fo
12/21/2000,Macintosh Fans Can Finally Join The Speech Transcription Game,IBM and iListen introduce programs for transcribing speech using Macintosh computers (S)
12/13/2000,Part of Drug Battle: Keeping It in Stores,"R W Apple Jr analysis says Gov George W Bush will have only a shaky platform from which to begin his presidency, given the narrowness of his victory in Florida, the Electoral College and US Supreme Court; says it will require immense skill to remove the questions about Bush's legitimacy that are left hanging by court's failure to speak with the kind of clarion political voice that much of the nation hoped for (M)"
12/8/2000,Corrections,"Correction of Dec 6 article on Apple Computer; company has about $4 billion in cash and short-term investments in reserve, not $11 billion"
12/24/2000,"Sauteeing the Fruit First, for Remarkable Desserts",Food column suggests dessert recipes using sauteed fruit (M)
12/20/2000,Recipe: Roast Goose,Adapted from Union Square Cafe
12/17/2000,"Paid Notice: Deaths  KUDESH, STEPHEN BERNARD","KUDESH-Stephen Bernard. Age 56. Of Edison. Died Thursday, December 14, 2000, at St. Peter's Medical Center, New Brunswick. Born January 19, 1944, in Queens, NY. Resided in Bayside, Queens, then Kew Gardens, before moving to Edison 25 years ago. Partner at the Cornell Computer Corporation, a computer consulting firm, in Edison for over 10 years, and was also president of its Telecomm Division. Received an M.B.A. in finance from St. John's University, NYC, and did his undergraduate studies at St. Lawrence University, Canton, NY. He is a member of Temple Neve Shalom in Edison, and a member of its choir. He also served as vice president of the J.C.C. of Middlesex County, and is also on the Board of Directors. He also sang in the Big Apple Chorus, NYC, which was invited to sing in Russia in the summer of 2001, and had also sung in Carnegie Hall and Lincoln Center with the Big Apple Chorus. Surviving family members: wife Enid (Zucker) Kudesh, daughter Michelle Kudesh, son Jeremy Kudesh. Funeral services Sunday, December 17, 2000, at 9:30 AM, in Temple Neve Shalom, 250 Grove Ave., Edison, NJ, Rabbi Gerald Zelizer officiating. Burial will follow in Beth El Cemetery, Oradell, NJ. Shiva will be observed at the family residence. For information, contact Flynn & Son Funeral Home, 23 Ford Ave., Fords, NJ. Condolence messages may be sent to our web address at: www.flynnfuneral.com.    KUDESH-Stephen. You song has ended, but your melody endures. Our heartfelt condolences to Enid, Michelle and Jeremy. We loved you, now we will miss you. Roberta, Rick, Helen and Families"
1/18/2001,Apple Posts $247 Million Loss for Quarter,"Apple Computer reports $247 million loss for its first fiscal quarter compared with earnings of $183 million a year earlier; says revenue for quarter matched its lowered expectations of $1 billion, 57 percent below $2.3 billion in quarter year ago (M)"
1/10/2001,Apple Putting Hopes on New Macintosh Line,"Apple Computer's chief executive Steven P Jobs introduces revamped Macintosh personal computer line and ultra-thin, titanium-clad portable model at annual MacWorld Exhibition, San Francisco; 5.3-pound G4 model, with Motorola processor, has built-in DVD player and 15.2-inch widescreen display; new machine, which will begin shipping in January, will sell for $2,599 to $3,997; photo (M)"
1/11/2001,Onboard DVD-R Drive Option Another First For Apple,"Apple Computer's new SuperDrive is the first recordable DVD drive ever to appear in a personal computer and is cornerstone of Apple's goal of serving as the premier hub for such portable digital devices as MP3 players, digital cameras and camcorders, Palm devices and DVD players (S)"
1/3/2001,APPLE CUTS COMPUTER PRICES,"Apple Computer cuts prices up to $1,000 on its desktop and portable computers (S)"
1/18/2001,Microsoft Gives Boost To Outlook for Macintosh,"Microsoft is updating its popular Office 2001 software suite to run on Apple's Mac OS X and announces a Macintosh version of Outlook, the e-mail, address book, calendar and collaboration program (S)"
1/11/2001,An End To Laptop Envy,"David Pogue column says the best new Apple Computer product unveiled at Macworld Expo was a PowerBook G4, a lap-top that is one inch thick when closed but that is loaded with power and accommodates a vast, wide screen (M)"
1/11/2001,A Cheaper Flat Panel From Philips Electronics,"Philips Electronics' 150X flat-panel monitor is priced at $899, $100 less than Apple's comparable screen; photo (S)"
1/17/2001,Cauliflower Apple Puree,
1/17/2001,Cauliflower Apple Puree,Time: 55 minutes
1/28/2001,Liberties; Apple Of Discord,"Maureen Dowd Op-Ed column says creeping Clinton nostalgia curdled into creepiness with news of how former president and his wife took furniture and bric-a-brac from White House, and accepted money and gifts from those seeking pardons; says Clintons think they do good works and are therefore entitled; says Clintons may have been justifying the unjustifiable for so long they can no longer tell difference (M)"
2/22/2001,APPLE ADDING FEATURES,"Apple Computer chief executive Steven P Jobs announces several new consumer-oriented products, including multihued iMacs, which will have faster processors and ability to both read and write CD's, and faster version of its G4 Cube computer, which will also come with ability to write directly to blank CD's (S)"
2/26/2001,"Apple Tours Quits Business, Lawyer Says","New York Apple Tours, which has been fined millions of dollars and whose buses have been cited for scores of problems and traffic violations, has gone out of business, according to its lawyer Bruce Paulsen; some of its assets have been sold to Coach USA, which owns Grayline New York tours; plan is to dispatch buses under name City Sightseeing; buses will be on road as soon as license is issued (M)"
2/25/2001,Books in Brief: Fiction & Poetry,Michael Hainey reviews book Crazy Melon and Chinese Apple: Poems by Frances Chung (S)
2/22/2001,Technology Briefing,"INTERNET NAPSTER COURT DATE The date has been set for the next legal proceeding in the matter of the record companies versus Napster . On March 2, at 10 a.m., all sides are scheduled to appear at a hearing that may determine when Napster, which permits users to exchange music free over the Internet, will cease to exist in its current incarnation. The hearing is before Chief Judge Marilyn Patel of the United States District Court in San Francisco. Judge Patel issued a preliminary injunction in July ordering Napster to stop permitting the exchange of works whose copyrights are held by the major record labels. Last week, a federal appeals court affirmed much of Judge Patel's ruling but ordered her to narrow its scope. Napster has said that depending on the scope of the injunction it may be forced to close. Matt Richtel (NYT)"
2/19/2001,CBS and NBC Going Into Overtime in Thursday Night Race,"Television networks heat up Thursday prime-time ratings contest, as CBS gets ready to launch a new show, Big Apple, opposite NBC's ER; photo (M)"
2/22/2001,"The Web, Without Wires, Wherever",IT'S coming soon to an espresso bar near you.
2/11/2001,"He Said Surfboard, Not Stanford","Lawrence J Ellison, who made Oracle Corp second-largest software maker in world, says he urged his son not to take college too seriously, noting that he, Bill Gates and Steve Jobs did not need a degree to succeed; photo (S)"
2/16/2001,Corrections,"Correction of Feb 14 article on introduction of XP version of Microsoft's Windows operating system, regarding timing with that of Apple Computer's Macintosh OS X system"
2/7/2001,Apple Almond Tart With Gingered Streusel Topping,
2/7/2001,Apple Almond Tart with Gingered Streusel Topping,Time: 1 hour 10 minutes
3/22/2001,"Apple, at Last, Has New Operating System for Macs",Apple Computer is set to introduce first complete revision of operating system for its Macintosh computers (S)
3/4/2001,Apple Trees Can Use A Firm Hand,Article on restoring old apple tree;photos (Cuttings column) (M)
3/29/2001,A New Face (And Heart) For the Mac,David Pogue column appraises Mac OS X operating system that Apple Computer has introduced for Macintosh computers; photo; drawing (M)
3/25/2001,"Simplicity, Unpeeled","At least seven teams enter this year's Rube Goldberg Machine Contest, in which object is to devise machine that takes greatest number of steps peeling an apple; host is Purdue University (S)"
3/18/2001,A Prophet Of Gesture Who Got Theater Moving,"Ron Jenkins article on International Theater School of Jacques Lecoq in Paris, a school of clowning, improvisation and commedia dell'arte that has been great incubator for theatrical innovation and has had profound impact on theater; says that because Lecoq, who died in 1999, insisted that students develop their own individual style, there is no clearly definable Lecoq style, but that his poetic approach to movement has influenced such theater pioneers as Julie Taymor, Ariane Mnouchkine, Theatre de Complicite, Cirque du Soleil, Mummenschanz, Footsbarn Traveling Theater of France, Theatre de la Jeune Lune, Geoffrey Rush, Steven Berkoff and Yasmina Reza; photos (M)"
3/11/2001,Advertisements for Themselves,advï
3/1/2001,"Gritty, Brash and Somewhat Familiar",Caryn James reviews new CBS drama series Big Apple; photo (M)
3/1/2001,Putting A New Soul In Your PC,"J D Biersdorfer State of the Art column recounts his experiences while testing Linux, only competitor to Microsoft's Windows and Apple's OS in field of computer operating systems; created ten years ago by Linus Torvalds, Linux' popularity is growing; it is being installed by some yanufacturers in new personal computers, despite challenges it poses to users unfamiliar with its language and processes; author suggests that adventurous individuals install Linux in old computers and explore its possibilities (M)"
3/14/2001,Hot Spiced Apples,Time: 20 minutes 4 tablespoons (1/2 stick) unsalted butter
